Element,Symbol,Type,At_No,r_A,r_cov,EN_Pauling,EN_Allen,VEC,density,Tm,Work_Function,n_WS,V_m,R_P,E_GPa,G_GPa,H_Vick,Coh_E,Bulk_Mod,Compressibility,cry_str
Lithium,Li,non_transition,3,1.52,1.3,0.98,0.91,1,0.53,453.5,2.85,0.94,13,0,11.5,4.24,0,1.63,0.116,8.62,bcc
Beryllium,Be,non_transition,4,1.13,0.99,1.57,1.58,2,1.85,1560,5.05,4.66,4.9,0.4,286,133,1670,3.32,1.003,0.997,hcp
Boron,B,non_transition,5,0.82,0.84,2.04,2.05,3,2.34,2350,5.3,5.36,4.7,1.9,178,0,4900,5.81,1.78,0.562,rhomb
Carbon,C,non_transition,6,0.77,0.75,2.55,2.54,4,2.2,4098,6.24,5.55,3.26,2.1,0,0,0,7.37,4.43,0.226,dia
Nitrogen,N,non_transition,7,0.75,0.71,3.04,3.07,5,0,63,6.86,4.49,4.1,2.3,0,0,0,4.92,0.012,80,cub
Sodium,Na,non_transition,11,1.86,1.6,0.93,0.87,1,0.97,370.79,2.7,0.55,23.78,0,6.8,2.94,0,1.113,0.068,14.7,bcc
Magnesium,Mg,non_transition,12,1.6,1.4,1.31,1.29,2,1.74,923,3.45,1.6,14,0.4,44.4,16.9,260,1.51,0.354,2.82,hcp
Aluminum,Al,non_transition,13,1.43,1.24,1.61,1.61,3,2.7,933.32,4.2,2.7,10,1.9,70.2,27.8,167,3.39,0.722,1.385,fcc
Silicon,Si,non_transition,14,1.15,1.14,1.9,1.92,4,2.33,1687,4.7,3.38,8.6,2.1,112,80.5,2350,4.63,0.988,1.012,dia
Phosphorus,P,non_transition,15,1.06,1.09,2.19,2.25,5,1.82,317.15,5.55,4.49,8.6,2.3,30.4,0,0,3.43,0.304,3.29,complex
Potassium,K,non_transition,19,2.31,2,0.82,0.73,1,0.89,336.5,2.25,0.27,45.63,0,3.52,1.28,0,0.934,0.032,31,bcc
Calcium,Ca,transition,20,1.98,1.74,1,1.03,2,1.54,1115,2.55,0.75,26.2,0.4,19.6,7.85,130,1.84,0.152,6.58,fcc
Scandium,Sc,transition,21,1.64,1.59,1.36,1.19,3,2.99,1814,3.25,2.05,15.03,0.7,75.2,29.7,350,3.9,0.435,2.3,hcp
Titanium,Ti,transition,22,1.46,1.48,1.54,1.38,4,4.51,1943,3.8,3.51,10.58,1,102,37.3,2750,4.85,1.051,0.951,hcp
Vanadium,V,transition,23,1.32,1.44,1.63,1.53,5,6,2183,4.25,4.41,8.36,1,127,46.6,630,5.31,1.619,0.618,bcc
Chromium,Cr,transition,24,1.25,1.3,1.66,1.65,6,7.15,2180,4.65,5.18,7.23,1,145,71.6,1060,4.1,1.901,0.526,bcc
Manganese,Mn,transition,25,1.35,1.29,1.55,1.75,7,7.3,1519,4.45,4.17,7.35,1,196,79.4,9.81,2.92,0.596,1.68,cubic complex
Iron,Fe,transition,26,1.24,1.24,1.83,1.8,8,7.87,1811,4.93,5.55,7.09,1,211,80.4,608,4.28,1.683,0.594,bcc
Cobalt,Co,transition,27,1.25,1.18,1.88,1.84,9,8.86,1768,5.1,5.36,6.7,1,204,77.3,1043,4.39,1.914,0.522,hcp
Nickel,Ni,transition,28,1.25,1.17,1.91,1.88,10,8.9,1728,5.2,5.36,6.6,1,220,78.5,640,4.44,1.86,0.538,fcc
Copper,Cu,transition,29,1.28,1.22,1.9,1.85,11,8.96,1357.62,4.45,3.18,7.12,0.3,128,46.8,369,3.49,1.37,0.73,fcc
Zinc,Zn,non_transition,30,1.4,1.2,1.65,1.59,12,7.13,692.53,4.1,2.3,9.17,1.4,92.7,34.3,337,1.35,0.598,1.67,hcp
Gallium,Ga,non_transition,31,1.39,1.23,1.81,1.76,3,5.91,302.76,4.1,2.25,11.82,1.9,9.81,6.67,0,2.81,0.569,1.76,complex
Germanium,Ge,non_transition,32,1.24,1.2,2.01,1.99,4,5.32,1211.25,4.55,2.57,9.87,2.1,74.9,79.9,0,3.85,0.772,1.29,dia
Rubidium,Rb,non_transition,37,2.44,2.15,0.82,0.71,1,1.53,312.3,2.1,0.22,56.07,0,2.35,0.91,0.37,0.852,0.031,32,bcc
Strontium,Sr,transition,38,2.15,1.9,0.95,0.96,2,2.64,1050,2.4,0.59,33.93,0.4,15.7,6.03,140,1.72,0.116,8.62,fcc
Yttrium,Y,transition,39,1.8,1.76,1.22,1.12,3,4.47,1795,3.2,1.77,19.9,0.7,66.3,25.5,40,4.37,0.366,2.73,hcp
Zirconium,Zr,transition,40,1.6,1.64,1.33,1.32,4,6.52,2127,3.45,2.8,14,1,68,24.8,903,6.25,0.833,1.2,hcp
